,open,high,low,close,AVWAP,BLR,Bullish Breakout Zone,Bearish Breakout Zone,Volume,RSI,RSI EMA,DI+,DI-,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
18698,44356.9,44380.4,44329.65,44364.65,43899.99318,44263.47689,44495.40576,44343.65904,3346523,59.63541235,62.64348866,20.24680848,17.38148237,,,,,,,,,,,,,,
18699,44365.65,44385.65,44319.05,44330.1,43905.48598,44262.56507,44495.40576,44343.65904,4373684,56.32350899,62.36717683,18.32068859,17.24206007,,,,,,,,,,,,,,
18700,44325.6,44383.7,44314.3,44383.7,43909.53046,44264.63987,44495.40576,44343.65904,3176931,56.91545216,62.12690776,16.55348677,16.23910658,,,,,,,,,,,,,,
18701,44379.85,44399.8,44370.0,44393.35,43911.27581,44267.10546,44495.40576,44343.65904,1309498,66.91013586,62.25852231,18.15362042,15.54568753,,,,,,,,,,,,,,
18702,44393.7,44410.15,44359.55,44380.3,43914.90543,44271.37798,44495.40576,44343.65904,2779966,66.95462244,62.38409111,16.83880766,15.91553516,,,,,,,,,,,,,,
18703,44375.9,44385.15,44340.1,44378.6,43918.14561,44274.05248,44495.40576,44343.65904,2604458,58.82630648,62.22294678,15.74539716,17.68555158,,,,,,,,,,,,,,
18704,44378.85,44390.35,44345.15,44379.7,43922.05558,44278.18776,44495.40576,44343.65904,3166377,60.04648402,62.11270145,15.46735141,16.52605512,,,,,,,,,,,,,,
18705,44377.15,44384.75,44353.35,44361.25,43926.21574,44279.73638,44495.40576,44343.65904,3471167,57.68617666,61.92892075,14.74417034,15.75337401,,,,,,,,,,,,,,
18706,44361.75,44426.8,44354.7,44402.75,43931.05724,44284.08785,44495.40576,44343.65904,3871550,63.99198004,61.96752728,19.26033392,14.12077364,,,,,,,,,,,,,,
18707,44412.9,44419.2,44346.8,44381.25,43933.7612,44287.49648,44495.40576,44343.65904,2258042,65.18049567,62.04538583,17.31933415,13.79736279,,,,,,,,,,,,,,
18708,44380.5,44385.15,44339.6,44359.5,43936.7118,44291.36362,44495.40576,44343.65904,2618658,52.12973964,61.67011484,16.21234824,13.92579873,,,,,,,,,,,,,,
18709,44338.85,44373.75,44326.5,44356.05,43941.29191,44293.45934,44495.40576,44343.65904,2154346,45.29284205,60.38294785,14.90716936,15.41254997,,,,,,,,,,,,,,
18710,44354.6,44389.85,44339.55,44342.95,43944.01409,44293.27732,44495.40576,44343.65904,2527317,49.17644531,59.94643544,16.11693163,14.32221852,,,,,,,,,,,,,,
18711,44316.9,44377.45,44275.9,44348.0,43948.40101,44292.25437,44495.40576,44343.65904,2492101,38.33244099,58.43122807,12.67314951,19.15946505,,,,,,,,,,,,,,
18712,44347.0,44443.0,44332.5,44423.6,43952.61223,44296.53875,44495.40576,44343.65904,3680636,60.58372596,58.46742206,18.85017631,16.6224167,,,,,,,,,,,,,,
18713,44417.45,44508.4,44417.45,44465.55,43958.81879,44303.05868,44495.40576,44343.65904,4847930,73.15162251,59.06465942,24.4235551,14.8763283,,,,,,,,,,,,,,
18714,44461.6,44480.75,44429.05,44448.1,43961.88718,44308.62509,44495.40576,44343.65904,2496541,73.53638751,59.6454109,22.94789147,13.97750516,,,,,,,,,,,,,,
18715,44447.3,44476.85,44429.0,44437.4,43965.2267,44313.33989,44495.40576,44343.65904,2780719,70.44891358,60.07553018,21.64442284,13.18950092,,,,,,,,,,,,,,
18716,44437.85,44451.25,44358.75,44377.4,43969.65981,44313.89268,44495.40576,44343.65904,4208665,55.48477705,59.88914741,19.35561541,19.8257332,,,,,,,,,,,,,,
18717,44380.05,44413.95,44362.8,44397.45,43973.68391,44316.41085,44495.40576,44343.65904,3937944,50.31995219,59.49639846,18.20894994,18.65121701,,,,,,,,,,,,,,
18718,44395.55,44425.95,44368.85,44370.3,43977.56169,44315.59669,44495.40576,44343.65904,3895765,50.78452902,59.14398941,18.39556184,17.4111841,,,,,,,,,,,,,,
18719,44368.4,44414.9,44367.55,44405.35,43980.83469,44317.86641,44495.40576,44343.65904,3284896,50.41574315,58.79761893,17.36456238,16.58923041,,,,,,,,,,,,,,
18720,44407.45,44430.1,44280.85,44282.9,43992.21824,44312.75964,44495.40576,44343.65904,14097165,39.25322619,58.00509742,14.58900562,23.22279792,,,,,,,,,,,,,,
18721,44276.55,44316.2,44243.1,44304.25,44001.37083,44310.0482,44495.40576,44343.65904,13865312,27.64272271,56.69165203,13.45465682,25.4324632,,,,,,,,,,,,,,
18722,44304.1,44332.75,44272.6,44314.65,44011.2418,44307.50963,44495.40576,44343.65904,14964047,34.63734135,55.71526338,14.36094938,23.79310102,,,,,,,,,,,,,,
18723,44319.6,44347.3,44261.5,44340.85,44021.01116,44307.2712,44495.40576,44343.65904,15298961,38.24703723,54.93101185,14.59494335,21.6493799,,,,,,,,,,,,,,
18724,44345.45,44402.2,44339.7,44371.6,44031.55543,44310.08937,44495.40576,44343.65904,14844602,51.03003698,54.69265191,19.4301318,20.2202209,,,,,,,,,,,,,,
18725,44368.85,44416.5,44364.4,44391.55,44037.68357,44313.0101,44495.40576,44343.65904,8554675,55.52606805,54.65465388,19.87866078,19.08896746,,,,,,,,,,,,,,
18726,44390.35,44390.35,44327.8,44327.8,44037.6989,44308.94659,44495.40576,44343.65904,24723,49.06440533,54.3602664,18.51377547,21.72024245,,,,,,,,,,,,,,
18727,44666.0,44666.0,44666.0,44666.0,44037.6989,44325.761,44495.40576,44343.65904,0,79.87328035,55.58187034,36.26152654,15.60057584,,,,,,,,,,,,,,
18728,44666.6,44666.6,44447.2,44511.65,44046.96451,44332.306,44742.116,44589.9488,9390858,66.22126516,56.10540069,30.29775215,29.43640242,,,,,,,,,,,,,,
18729,44512.2,44545.7,44501.1,44542.25,44052.02543,44340.95217,44742.116,44589.9488,5413465,60.275816,56.3227702,29.24480453,28.41338958,,,,,,,,,,,,,,
18730,44543.25,44544.25,44518.6,44530.45,44055.43625,44350.61637,44742.116,44589.9488,3702535,61.00451863,56.56106909,28.62858781,27.81469159,,,,,,,,,,,,,,
18731,44529.45,44567.9,44523.2,44561.95,44059.33468,44361.35353,44742.116,44589.9488,4123333,62.02466,56.8310274,29.55219968,26.75660643,,,,,,,,,,,,,,
18732,44563.8,44587.85,44555.45,44581.7,44062.75071,44374.02397,44742.116,44589.9488,3495535,64.44536866,57.1914795,30.47563634,25.9850079,,,,,,,,,,,,,,
18733,44583.15,44658.8,44578.35,44654.0,44067.17062,44389.85649,44742.116,44589.9488,4140962,68.39987944,57.705999,34.60762907,24.12468736,,,,,,,,,,,,,,
18734,44653.5,44668.15,44615.2,44627.7,44070.7815,44407.83084,44742.116,44589.9488,3391334,70.21320656,58.27128309,33.78907332,22.95961186,,,,,,,,,,,,,,
18735,44624.7,44636.1,44608.75,44622.9,44073.76815,44424.33522,44742.116,44589.9488,2912556,66.76965096,58.67017226,32.9051149,22.9759251,,,,,,,,,,,,,,
18736,44623.15,44633.8,44600.6,44619.55,44078.50913,44439.8988,44742.116,44589.9488,4729004,65.99443757,59.01632306,31.81698677,23.02791789,,,,,,,,,,,,,,
18737,44621.65,44661.2,44614.3,44621.95,44082.05767,44454.37289,44742.116,44589.9488,3499640,67.16780886,59.3880769,33.09132812,21.92492144,,,,,,,,,,,,,,
18738,44625.15,44639.6,44596.3,44601.9,44085.18898,44466.13407,44742.116,44589.9488,3243690,63.85400623,59.61973054,31.58704964,22.81797502,,,,,,,,,,,,,,
18739,44600.45,44612.7,44584.0,44594.0,44087.58961,44476.4383,44742.116,44589.9488,2590465,59.62242849,59.68636431,30.59431436,23.44777707,,,,,,,,,,,,,,
18740,44594.25,44601.2,44573.35,44601.2,44089.59342,44489.30326,44742.116,44589.9488,2202670,58.34119598,59.70359071,29.62143613,23.91817789,,,,,,,,,,,,,,
18741,44598.45,44605.05,44538.05,44543.2,44091.85088,44486.08576,44742.116,44589.9488,2661322,53.16098065,59.53507122,27.36680189,26.10788251,,,,,,,,,,,,,,
18742,44544.05,44555.85,44521.95,44543.75,44093.43082,44488.36834,44742.116,44589.9488,1968493,46.64829073,59.13221888,26.27698123,26.95948127,,,,,,,,,,,,,,
18743,44541.05,44551.3,44522.75,44532.6,44094.77209,44488.78137,44742.116,44589.9488,1701042,45.70202232,58.71686249,25.36099616,26.01970504,,,,,,,,,,,,,,
18744,44532.65,44543.25,44527.55,44535.9,44095.84123,44489.8182,44742.116,44589.9488,1363290,45.22062778,58.30806994,24.84803649,25.49342211,,,,,,,,,,,,,,
18745,44540.75,44573.75,44535.25,44569.75,44097.12301,44491.9409,44742.116,44589.9488,1557870,50.81519239,58.08469011,27.60508525,24.20074118,,,,,,,,,,,,,,
18746,44569.2,44581.8,44545.25,44571.55,44098.13653,44493.37777,44742.116,44589.9488,1220452,54.00013716,57.96970109,27.33004611,23.00798121,,,,,,,,,,,,,,
